Entry,Exp_Rate_Constant k1 (M-1s-1),Substrate SMILES,Nucleophile SMILES,Product SMILES,Reaction SMILES,Temp (K),Activation Free Energy (kcalmol-1),Reference,Year,Title,Authors,DOI,Book_Page,Table,Nucleophile,Leaving Group,Solvent,logk,Entry IDs of Duplicates,Model_Flag
1,0.0089,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,CCCCN,CCCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.CCCCN>>CCCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],298,20.22,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,n-butylamine,Cl,Acetonitrile,-2.05,146,modelled
2,0.0153,O=[N+]([O-])c1cccc([N+](=O)[O-])c1Cl,CCCCN,CCCCNc1c([N+](=O)[O-])cccc1[N+](=O)[O-],O=[N+]([O-])c1cccc([N+](=O)[O-])c1Cl.CCCCN>>CCCCNc1c([N+](=O)[O-])cccc1[N+](=O)[O-],298,19.9,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,n-butylamine,Cl,Acetonitrile,-1.82,,modelled
3,0.000384,O=[N+]([O-])c1ccc(Cl)nc1,CCCCN,CCCCNc1ccc([N+](=O)[O-])cn1,O=[N+]([O-])c1ccc(Cl)nc1.CCCCN>>CCCCNc1ccc([N+](=O)[O-])cn1,298,22.08,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,n-butylamine,Cl,Acetonitrile,-3.42,338,modelled
4,0.00061,O=[N+]([O-])c1cccnc1Cl,CCCCN,CCCCNc1ncccc1[N+](=O)[O-],O=[N+]([O-])c1cccnc1Cl.CCCCN>>CCCCNc1ncccc1[N+](=O)[O-],298,21.8,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,n-butylamine,Cl,Acetonitrile,-3.21,339,modelled
5,0.00007,O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,CCCCN,CCCCNc1ccc(C(F)(F)F)cc1[N+](=O)[O-],O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl.CCCCN>>CCCCNc1ccc(C(F)(F)F)cc1[N+](=O)[O-],298,23.08,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,n-butylamine,Cl,Acetonitrile,-4.15,,modelled
6,0.00009,N#Cc1cc([N+](=O)[O-])ccc1Cl,CCCCN,CCCCNc1ccc([N+](=O)[O-])cc1C#N,N#Cc1cc([N+](=O)[O-])ccc1Cl.CCCCN>>CCCCNc1ccc([N+](=O)[O-])cc1C#N,298,22.93,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,n-butylamine,Cl,Acetonitrile,-4.05,,modelled
7,8.9,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,CCCCN,CCCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1.CCCCN>>CCCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],298,16.13,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,n-butylamine,F,Acetonitrile,0.95,,modelled
8,0.12,O=[N+]([O-])c1cc(C(F)(F)F)ccc1F,CCCCN,CCCCNc1ccc(C(F)(F)F)cc1[N+](=O)[O-],O=[N+]([O-])c1cc(C(F)(F)F)ccc1F.CCCCN>>CCCCNc1ccc(C(F)(F)F)cc1[N+](=O)[O-],298,18.68,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,n-butylamine,F,Acetonitrile,-0.92,,modelled
9,0.0036,O=[N+]([O-])c1ccc(F)c(C(F)(F)F)c1,CCCCN,CCCCNc1ccc([N+](=O)[O-])cc1C(F)(F)F,O=[N+]([O-])c1ccc(F)c(C(F)(F)F)c1.CCCCN>>CCCCNc1ccc([N+](=O)[O-])cc1C(F)(F)F,298,20.75,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,n-butylamine,F,Acetonitrile,-2.44,,modelled
10,0.1,N#Cc1cc([N+](=O)[O-])ccc1F,CCCCN,CCCCNc1ccc([N+](=O)[O-])cc1C#N,N#Cc1cc([N+](=O)[O-])ccc1F.CCCCN>>CCCCNc1ccc([N+](=O)[O-])cc1C#N,298,18.79,"Eur. J.  Org. Chem, 2007, 1378",2007,The Effects of Ring Substituents and Leaving Groups on the Kinetics of SNAr Reactions of 1-Halogeno- and 1-Phenoxy-nitrobenzenes with Aliphatic Amines in Acetonitrile,"Crampton, Michael R.; Emokpae, Thomas A.; Isanbor, Chukwuemeka",https://doi.org/10.1002/ejoc.200600968,,1,n-butylamine,F,Acetonitrile,-1,,modelled
